SENDER
thesouthern
yorknewstimes
PDRnews
BDCitizen
BeaDailySunNews
theindependent
billingsgazette
journalonline
mooresvilletrib
azds
News_Republic
ElkoDaily
mcdowellnews
Hickoryrecord
NewsVirginian
GoDanRiver
WinonaDailyNews
the_daily_news
indytribune
CSTribune
CulpeperSE
TucsonStar
dothaneagle
dhnews
TheBuffaloNews
dailyjournalmo
JournalStarNews
RavalliRepublic
MVilleBulletin
ChippewaHerald
JGTCOnline
scj
newsadvance
Kenosha_News
gtnews
WGRZ
FOX40
WDHN
ABC10
nprpolitics
WPSDLocal6
NYDailyNews
wzzm13
SCPublicRadio
23ABCNews
41NBC
lehighvalley
KHOU
DailyMail
newscentermaine
WVNews247
WHAM1180
Newsweek
WFTV
BN9
Action10News
guardiannews
KPRC2
WVNYWFFF
AnnistonStar
cspanradio
FOX61News
KOINNews
KENS5
wqad
100PercFEDUP
scrippsnews
GreenNewsReport
CBS12
wrtv
JET24FOX66
bpolitics
nbc6
8NewsNow
WJTV
KREX5_Fox4
WCBD
fox5sandiego
whnt
myfox8
WBTWNews13
KXNewsMinot
nhpr
wrblnews3
idsnews
CNNPolitics
SputnikInt
KXMB
phl17
BloombergTV
WCIA3
NBCDFW
KTULNews
WJBF
YourFox18
kiii3news
StarTribune
WAAYTV
WFMY
CNYCentral
MeetThePress
USRealityCheck
NBCNewYork
7News
PostOpinions
MichiganRadio
wsoctv
CourthouseNews
foxnewsradio
wsvn
KDKARadio
nytpolitics
YourGoshenNews
KIRO7Seattle
BellevueLeader
KOB4
WISH_TV
PapillionTimes
BBCNorthAmerica
TheBizJournal
PittsburghPG
WTAJnews
CSPANinfo
ABC6NEWS
AP_Politics
AZPubRadio
NBCLA
journalnews
StarAdvertiser
CNNSotu
FOX42KPTM
WLOS_13
CBS8
daytondailynews
NRO
postpolitics
Slate
WSJPolitics
WOWK13News
NatCounterPunch
ABCNews4
SRURocket
globaltimesnews
TheLastWord
WSJGraphics
KLBKNews
GMA
WMBBTV
WDBJ7
guardian
Morning_Joe
news18dotcom
people
cbschicago
KGETnews
ReutersPolitics
NewsChannel9
springfieldnews
kfbk
chicagotribune
abc27News
KATVNews
timestribune
THESKY973DOTCOM
NBCPhiladelphia
9NEWS
WTOP
theeagle
globegazette
thephillyvoice
KTVZ
ThePost_Journal
kwtx
nytimestech
CBSDetroit
NewsRadio920
TalkradioWLAC
1430KASI
945wpti
WHORadio
610wtvnnews
wtam1100
knsttucson
WRKO680
600WREC
KFYI
995WRNO
NY1
13wmaznews
thewire_in
foxillinois
KRDONC13
fox35orlando
abcWNN
wics_abc20
KOSURadio
wjxt4
MercuryX
Fox4Now
CNBC
wbalradio
LansReporter
delcotimes
ABC7Amarillo
ReadingEagle
wcdailylocal
KVOA
mcall
KTVB
ithacajournal
CBS6Albany
KRCG13
MPRnews
pressconnects
TheNewsLeader1
KPBSnews
fox5ny
fox7austin
KTNV
gpbnews
WSIURadio
WYSO
PostLive
krwg
NewsRecord_UC
PeninsulaQatar
DenverChannel
WKOK1070
wdefnews12
JGfortwayne
CBS58
fox12oregon
WCMUNews
KBTXNews
FOX29philly
69News
nbcsandiego
850WFTL
Local4News
10News
wxyzdetroit
PRWeekUS
AlArabiya_Eng
inforum
fox5dc
WIONews
POLITICOPro
FOX2News
FOX10Phoenix
dwnews
Mediaite
LP_LaPresse
BostonDotCom
KVUE
UnionLeader
KCTV5
WDAYnews
fox6now
tv20detroit
7NewsWatertown
ottawasuncom
KSBY
WCTV
RT_com
WWLTV
KATUNews
KPLC7News
WKOW
wibw
wachfox
KWWL
abcactionnews
KREM2
kentwired
keloland
WDRBNews
FLTimes
Channel8ABC
KFYRTV
KMOT_TV
1011_News
FOX19
NewsChannel312
Lukewearechange
bostonherald
dakotanews_now
KSL5TV
KOMUnews
ABC17News
WLBT
WSILNews
WLNS
kytxcbs19
VanityFair
Canoe
WTHRcom
kron4news
nbcbayarea
VancouverSun
NBC29
theprovince
WHAS11
wpdeabc15
wmbfnews
csgazette
globeandmail
WJHL11
DominionPostWV
ksdknews
WTOC11
CBSNewYork
kare11
WITN
WOWOFORTWAYNE
ajc
romenewstribune
fox32news
conserveangle
1025mountainfm
irishexaminer
wane15
WgarNews
WSAZnews
NEWS_MAKER
stlnewsonline
8NEWS
the_hindu
NewsForFuture
wusa9
sfchronicle
KMOV
KTVU
nbcchicago
6NewsCTX
FOX10News
EPLNewsSoccer
WOODTV
WMassNews
ABC6
STForeignDesk
LucasFoxNews
WFSBnews
CrossroadsToday
KLFY
kfxkfox51
KWKTFOX44
news8news
NEWS9
Politisite
NewsOn6
WTHITV
Granma_English
YorkDispatch
WMBDNews
WVNS59News
WAOW
TheProspect
FOX47News
EADT24
CBS6
EDP24
wsbtv
WABI_TV5
sbstatesman
theintercept
WLFI
WFPLNews
WMAR2News
abc15
GuardianAus
Echinanews
WSJopinion
BGOV
HoustonChron
WTVM
WNCN
propublica
celocal
sanduskyregistr
ajplus
NYMag
WNGdotorg
ECLedger
ydrcom
GoErie
TheIntellNews
PONews
theeveningsun
LDNews
WCCBCharlotte
WBTV_News
Complex
bizjournals
PHLBizJournal
VICENews
nbcsnl
13WREX
MalayalaManorma
KAMRLocal4News
wcnc
climate
TheEconomist
PolitiFact
CBCNews
WBUR
modrnhealthcr
KMVTNews
TribToday
RogReview
